"course_id";"college_id";"course_name";"course_abbreviation"
"101e3b19-db66-48a3-804f-718f134df349";"89100a16-dbe1-4d9b-9616-3a79acad40ac";"BSCS";"BSCS"
"189a4d36-91f2-433b-a3b0-4d11450e5f9e";"681e09b9-d275-4bb1-ba40-10d45a5f2607";"BEED-G";"BEED-G"
"3ec9a3bd-c309-406f-abce-27eb17f3a18c";"681e09b9-d275-4bb1-ba40-10d45a5f2607";"BSEd-F";"BSEd-F"
"5e2ccef9-b12e-475e-8e03-d232067133a6";"eb21d6e1-5be2-4385-9c86-2fb71a7b2806";"BSBA-FM";"BSBA-FM"
"61ec4426-e62f-4ecf-8b01-048808590348";"681e09b9-d275-4bb1-ba40-10d45a5f2607";"BSED-E";"BSED-E"
"8981d84b-c3cc-11ee-84e6-0a0027000003";"f5f2175a-3f02-4003-8915-495f7eda3372";"BSCE";"BSCE"
